0_NG_PVA_etc	1_NG_poly()	2_OK_doped_etc	3_OK	4_OK_PP_etc	5_OK_copolymer_plastic_resin
.*B3LYP.*	.*polymer.*	.+.ed	polyethylene oxide	PA[0-9]*	acrylonitrile-butadiene
PDI	polyadd.*	.+ied	polyethylene terephthalate	PB[0-9]*	acrylonitrile-butadiene-acrylate
ATRP.*	polyceramic.*	.*cyclic	polymethyl methacrylate	PC[0-9]*	acrylonitrile-butadiene-styrene
COPOLYME.*	.*polyconde.*	commercial	polyvinyl acetate	PE[0-9]*	acrylonitrile-chlorinated polyethylene-styrene
EXPERI.*	polydisp.*	pure	polyvinyl alcohol	PI[0-9]*	acrylonitrile-(ethylene-propylene-diene)-styrene
[0-9]*kPa	polyelec.*	pristine	polyvinyl chloride	PP[0-9]*	acrylonitrile-methyl methacrylate
[0-9]*MPa	polyion.*	biodegradable	polyvinylidene chloride	PS[0-9]*	acrylonitrile-styrene-acrylate
[0-9]*GPa	.*polymeriz.*	isotactic	polyvinylidene fluoride	ABA[0-9]*	cycloolefin
CP.*	polymole.*	syndiotactic	polyvinyl fluoride	ABAK	ethylene-acrylic acid
APS	polymorphi.*	atactic	polyacrylic acid	ABS	ethylene-butyl acrylate
OPL.*	polynucl.*		polyaryl amide	AEPDS	ethylene-ethyl acrylate
PHOTO-CROSSLINKED	polypept.*		polybutyl acrylate	AMMA	ethylene-methacrylic acid
.*POLYM.*	polyphase		polybutylene naphthalate	ASA	ethylen-propylene
SPIE	polyphosphor.*		polybutylene terephthalate	COC	ethylene-tetrafluoroethylene
.*APPEND.*	polyrecom.*		polycyclohexylene dimethylene terephthalate	EAA	ethylene-vinyl acetate
PIZARRO	polysome		polydiallyl phthalate	EBA	ethylene-vinyl alcohol
N-PhMI.*	polym		polyethylene naphthalate	EBAK	perfluoro(ethylene-propylene)
NPhMI.*	polyblen.*		polyphenylene ether	EEAK	methyl methacrylate-acrylonitrile-butadiene-styrene
LPR	polychelat.*		polypropylene oxide	EMA	methyl methacrylate-butadiene-styrene
BPO	polystyrene-calibrated		polyphenylene sulfide	E/P	styrene-acrylonitrile
POS	.*polyacid.*		polyphenylene sulfone	ETFE	styrene-butadiene
TBAP	polyene.*		polytrimethylene terephthalate	EVA	styrene-maleic anhydride
DCp.*	polysaccharide.*		polyvinyl butyral	EVOH	styrene-alpha-methylstyrene
pH.*	polyolefin.*		polyvinyl formal	FEP	ethylene-vinyl chloride
.*DFP	biopolyester.*		cellulose acetate	MABS	vinyl chloride-ethylene-methyl acrylate
NMP.*	polynomial		cellulose acetate butylate	MBS	vinyl chloride-ethylene-vinyl acetate
VSP	polyhedral		cellulose acetate propionate	SAN	vinyl chloride-methyl acrylate
PL-EMD	polyscience		cellulose formaldehyde	SBR	vinyl chloride-methyl methacrylate
Rep.	polymsci		carboxymethyl cellulose	SMA	vinyl chloride-octyl acrylate
HRP	polym.		cellulose nitrate	SMAH	vinyl chloride-vinyl acetate
Epa.*	polystyrene-ionic		ethyl cellulose	SMS	vinyl chloride-vinylidene chloride
.*TSPc	polyphasic		methyl cellulose	VCE	cresol-formaldehyde
.*PO4	Photopolym		PHBdiol	VCEMAK	casein-formaldehyde
PdCl2	Polym.Prepr.		PHB-diol	VCEVAC	epoxy
DCP			Nafion	VCMAK	furan-formaldehyde
PRESS.*			Cellulose	VCMMA	melamine-formaldehyde
SPE.*			cellulose	VCOAK	melamine-phenol-formaldehyde
JCPDS			Chitin	VCVAC	phenol-formaldehyde
GNPs			chitin	VCVDC	perfluoroalkoxylalkane
hP2.*			Chitosan	CSF	urea-formaldehyde
