&#x21;	&#33;	!	excl
&#x22;	&#34;	"	quotation mark = APL quote (oka: double quotation)
&#x23;	&#35;	#	num
&#x24;	&#36;	$	dollar
&#x25;	&#37;	%	percnt
&#x26;	&#38;	&	ampersand
&amp;	&#38;	&	ampersand
&#x27;	&#39;	'	apos
&#x28;	&#40;	(	lpar
&#x29;	&#41;	)	rpar
&#x2a;	&#42;	*	ast, midast
&#x2b;	&#43;	+	add
&#x2c;	&#44;	,	comma
&#x2e;	&#46;	.	period
&#x2f;	&#47;	/	sol
&#x3a;	&#58;	:	colon
&#x3b;	&#59;	;	semi
&lt;	&#60;	<	less than
&equals;	&#61;	=	equal
&gt;	&#62;	>	greater than
&#x3f;	&#63;	?	quest
&#x40;	&#64;	@	commat
&#x5b;	&#91;	[	lsqb, lbrack
&#x5c;	&#92;	\	bsol
&#x5d;	&#93;	]	rsqb, rbrack
&#x5e;	&#94;	^	Hat
&#x5f;	&#95;	_	lowbar
&#x60;	&#96;	`	grave, DiacriticalGrave
&#x7b;	&#123;	{	lcub, lbrace
&#x7c;	&#124;	|	verbar, vert, VerticalLine
&#x7d;	&#125;	}	rcub, rbrace
&#xa0;	&#160;	 	non-breaking space (oka: space)
&#xa1;	&#161;	¡	inverted exclamation mark
&#xa2;	&#162;	¢	cent
&#xa3;	&#163;	£	pound
&#xa4;	&#164;	¤	currency
&#xa5;	&#165;	¥	yen
&#xa6;	&#166;	¦	broken vertical bar
&#xa7;	&#167;	§	section sign
&#xa8;	&#168;	¨	diaeresis
&#xa9;	&#169;	©	copyright
&#xaa;	&#170;	ª	feminine ordinal indicator
&#xab;	&#171;	«	left pointing guillemet
&#xac;	&#172;	¬	not sign
&#xad;	&#173;	 	shy
&#xae;	&#174;	®	registered sign
&#xaf;	&#175;	¯	macron = APL overbar
&#xb0;	&#176;	°	degree
&#xb1;	&#177;	±	plus-or-minus
&#xb2;	&#178;	²	squared
&#xb3;	&#179;	³	cubed
&#xb4;	&#180;	'	acute accent = spacing acute (oka: single quotation)
&#xb5;	&#181;	µ	micro
&#xb6;	&#182;	¶	pilcrow = paragraph
&#xb7;	&#183;	·	middle dot
&#xb8;	&#184;	¸	cedilla
&#xb9;	&#185;	¹	superscript one
&#xba;	&#186;	º	masculine ordinal indicator
&#xbb;	&#187;	»	right pointing guillemet
&#xbc;	&#188;	¼	fraction one quarter
&#xbd;	&#189;	½	fraction one half
&#xbe;	&#190;	¾	fraction three quarters
&#xbf;	&#191;	¿	iquest
&#xc0;	&#192;	À	latin capital letter A grave
&#xc1;	&#193;	Á	latin capital letter A with acute
&#xc2;	&#194;	Â	latin capital letter A with circumflex
&#xc3;	&#195;	Ã	latin capital letter A with tilde
&#xc4;	&#196;	Ä	latin capital letter A with diaeresis
&#xc5;	&#197;	Å	angstrom
&#xc6;	&#198;	Æ	latin capital ligature AE
&#xc7;	&#199;	Ç	latin capital letter C with cedilla
&#xc8;	&#200;	È	latin capital letter E with grave
&#xc9;	&#201;	É	latin capital letter E with acute
&#xca;	&#202;	Ê	latin capital letter E with circumflex
&#xcb;	&#203;	Ë	latin capital letter E with diaeresis
&#xcc;	&#204;	Ì	latin capital letter I with grave
&#xcd;	&#205;	Í	latin capital letter I with acute
&#xce;	&#206;	Î	latin capital letter I with circumflex
&#xcf;	&#207;	Ï	latin capital letter I with diaeresis
&#xd0;	&#208;	Ð	latin capital letter ETH
&#xd1;	&#209;	Ñ	latin capital letter N with tilde
&#xd2;	&#210;	Ò	latin capital letter O with grave
&#xd3;	&#211;	Ó	latin capital letter O with acute
&#xd4;	&#212;	Ô	latin capital letter O with circumflex
&#xd5;	&#213;	Õ	latin capital letter O with tilde
&#xd6;	&#214;	Ö	latin capital letter O with diaeresis
&#xd7;	&#215;	×	multiplication
&#xd8;	&#216;	Ø	Oslash
&#xd9;	&#217;	Ù	Ugrave
&#xda;	&#218;	Ú	Uacute
&#xdb;	&#219;	Û	Ucirc
&#xdc;	&#220;	Ü	Uuml
&#xdd;	&#221;	Ý	Yacute
&#xde;	&#222;	Þ	THORN
&#xdf;	&#223;	ß	szlig
&#xe0;	&#224;	à	agrave
&#xe1;	&#225;	á	aacute
&#xe2;	&#226;	â	acirc
&#xe3;	&#227;	ã	atilde
&#xe4;	&#228;	ä	auml
&#xe5;	&#229;	å	aring
&#xe6;	&#230;	æ	aelig
&#xe7;	&#231;	ç	ccedil
&#xe8;	&#232;	è	egrave
&#xe9;	&#233;	é	eacute
&#xea;	&#234;	ê	ecirc
&#xeb;	&#235;	ë	euml
&#xec;	&#236;	ì	igrave
&#xed;	&#237;	í	iacute
&#xee;	&#238;	î	icirc
&#xef;	&#239;	ï	iuml
&#xf0;	&#240;	ð	eth
&#xf1;	&#241;	ñ	ntilde
&#xf2;	&#242;	ò	ograve
&#xf3;	&#243;	ó	oacute
&#xf4;	&#244;	ô	ocirc
&#xf5;	&#245;	õ	otilde
&#xf6;	&#246;	ö	ouml
&#xf7;	&#247;	÷	divide
&#xf8;	&#248;	ø	latin small letter o with stroke
&#xf9;	&#249;	ù	ugrave
&#xfa;	&#250;	ú	uacute
&#xfb;	&#251;	û	ucirc
&#xfc;	&#252;	ü	uuml
&#xfd;	&#253;	ý	yacute
&#xfe;	&#254;	þ	thorn
&#xff;	&#255;	ÿ	yuml
&#x100;	&#256;	Ā	Amacr
&#x101;	&#257;	ā	amacr
&#x102;	&#258;	Ă	Abreve
&#x103;	&#259;	ă	abreve
&#x104;	&#260;	Ą	Aogon
&#x105;	&#261;	ą	aogon
&#x106;	&#262;	Ć	Cacute
&#x107;	&#263;	ć	cacute
&#x108;	&#264;	Ĉ	Ccirc
&#x109;	&#265;	ĉ	ccirc
&#x10a;	&#266;	Ċ	Cdot
&#x10b;	&#267;	ċ	cdot
&#x10c;	&#268;	Č	Ccaron
&#x10d;	&#269;	č	ccaron
&#x10e;	&#270;	Ď	Dcaron
&#x10f;	&#271;	ď	dcaron
&#x110;	&#272;	Đ	DSTROK
&#x111;	&#273;	đ	dstrok
&#x112;	&#274;	Ē	Emacr
&#x113;	&#275;	ē	emacr
&#x116;	&#278;	Ė	Edot
&#x117;	&#279;	ė	edot
&#x118;	&#280;	Ę	Eogon
&#x119;	&#281;	ę	eogon
&#x11a;	&#282;	Ě	Ecaron
&#x11b;	&#283;	ě	ecaron
&#x11c;	&#284;	Ĝ	Gcirc
&#x11d;	&#285;	ĝ	gcirc
&#x11e;	&#286;	Ğ	Gbreve
&#x11f;	&#287;	ğ	gbreve
&#x120;	&#288;	Ġ	Gdot
&#x121;	&#289;	ġ	gdot
&#x122;	&#290;	Ģ	Gcedil
&#x124;	&#292;	Ĥ	Hcirc
&#x125;	&#293;	ĥ	hcirc
&#x126;	&#294;	Ħ	Hstrok
&#x127;	&#295;	ħ	hstrok
&#x128;	&#296;	Ĩ	Itilde
&#x129;	&#297;	ĩ	itilde
&#x12a;	&#298;	Ī	Imacr
&#x12b;	&#299;	ī	imacr
&#x12e;	&#302;	Į	Iogon
&#x12f;	&#303;	į	iogon
&#x130;	&#304;	İ	Idot
&#x131;	&#305;	ı	imath, inodot
&#x132;	&#306;	Ĳ	IJlig
&#x133;	&#307;	ĳ	ijlig
&#x134;	&#308;	Ĵ	Jcirc
&#x135;	&#309;	ĵ	jcirc
&#x136;	&#310;	Ķ	Kcedil
&#x137;	&#311;	ķ	kcedil
&#x138;	&#312;	ĸ	kgreen
&#x139;	&#313;	Ĺ	Lacute
&#x13a;	&#314;	ĺ	lacute
&#x13b;	&#315;	Ļ	Lcedil
&#x13c;	&#316;	ļ	lcedil
&#x13d;	&#317;	Ľ	Lcaron
&#x13e;	&#318;	ľ	lcaron
&#x13f;	&#319;	Ŀ	Lmidot
&#x140;	&#320;	ŀ	lmidot
&#x141;	&#321;	Ł	Lstrok
&#x142;	&#322;	ł	lstrok
&#x143;	&#323;	Ń	Nacute
&#x144;	&#324;	ń	nacute
&#x145;	&#325;	Ņ	Ncedil
&#x146;	&#326;	ņ	ncedil
&#x147;	&#327;	Ň	Ncaron
&#x148;	&#328;	ň	ncaron
&#x149;	&#329;	ŉ	napos
&#x14a;	&#330;	Ŋ	ENG
&#x14b;	&#331;	ŋ	eng
&#x14c;	&#332;	Ō	Omacr
&#x14d;	&#333;	ō	omacr
&#x150;	&#336;	Ő	Odblac
&#x151;	&#337;	ő	odblac
&#x152;	&#338;	Œ	OElig
&#x153;	&#339;	œ	oelig
&#x154;	&#340;	Ŕ	Racute
&#x155;	&#341;	ŕ	racute
&#x156;	&#342;	Ŗ	Rcedil
&#x157;	&#343;	ŗ	rcedil
&#x158;	&#344;	Ř	Rcaron
&#x159;	&#345;	ř	rcaron
&#x15a;	&#346;	Ś	Sacute
&#x15b;	&#347;	ś	sacute
&#x15c;	&#348;	Ŝ	Scirc
&#x15d;	&#349;	ŝ	scirc
&#x15e;	&#350;	Ş	Scedil
&#x15f;	&#351;	ş	scedil
&#x160;	&#352;	Š	Scaron
&#x161;	&#353;	š	scaron
&#x162;	&#354;	Ţ	Tcedil
&#x163;	&#355;	ţ	tcedil
&#x164;	&#356;	Ť	Tcaron
&#x165;	&#357;	ť	tcaron
&#x166;	&#358;	Ŧ	Tstrok
&#x167;	&#359;	ŧ	tstrok
&#x168;	&#360;	Ũ	Utilde
&#x169;	&#361;	ũ	utilde
&#x16a;	&#362;	Ū	Umacr
&#x16b;	&#363;	ū	umacr
&#x16c;	&#364;	Ŭ	Ubreve
&#x16d;	&#365;	ŭ	ubreve
&#x16e;	&#366;	Ů	Uring
&#x16f;	&#367;	ů	uring
&#x170;	&#368;	Ű	Udblac
&#x171;	&#369;	ű	udblac
&#x172;	&#370;	Ų	Uogon
&#x173;	&#371;	ų	uogon
&#x174;	&#372;	Ŵ	Wcirc
&#x175;	&#373;	ŵ	wcirc
&#x176;	&#374;	Ŷ	Ycirc
&#x177;	&#375;	ŷ	ycirc
&#x178;	&#376;	Ÿ	Yuml
&#x179;	&#377;	Ź	Zacute
&#x17a;	&#378;	ź	zacute
&#x17b;	&#379;	Ż	Zdot
&#x17c;	&#380;	ż	zdot
&#x17d;	&#381;	Ž	Zcaron
&#x17e;	&#382;	ž	zcaron
&#x192;	&#402;	ƒ	fnof
&#x1b5;	&#437;	Ƶ	imped
&#x1f5;	&#501;	ǵ	gacute
&#x237;	&#567;	ȷ	jmath
&#x2c6;	&#710;	ˆ	circ
&#x2c7;	&#711;	ˇ	caron, Hacek
&#x2d8;	&#728;	˘	breve, Breve
&#x2d9;	&#729;	˙	dot, DiacriticalDot
&#x2da;	&#730;	˚	ring
&#x2db;	&#731;	˛	ogon
&#x2dc;	&#732;	˜	tilde, DiacriticalTilde
&#x2dd;	&#733;	˝	dblac, DiacriticalDoubleAcute
&#x302;	&#770;	^	combining circumflex accent
&#x305;	&#773;	̅	combining overline
&#x311;	&#785;	̑	DownBreve
&#x332;	&#818;	̲	UnderBar
&#x391;	&#913;	Α	ALPHA
&#x392;	&#914;	Β	BETA
&#x393;	&#915;	Γ	GAMMA
&#x394;	&#916;	Δ	DELTA
&#x395;	&#917;	Ε	EPSIRON
&#x396;	&#918;	Ζ	ZETA
&#x397;	&#919;	Η	ETA
&#x398;	&#920;	Θ	THETA
&#x399;	&#921;	Ι	IOTA
&#x39a;	&#922;	Κ	KAPPA
&#x39b;	&#923;	Λ	LAMBDA
&#x39c;	&#924;	Μ	MU
&#x39d;	&#925;	Ν	NU
&#x39e;	&#926;	Ξ	XI
&#x39f;	&#927;	Ο	OMICRON
&#x3a0;	&#928;	Π	PI
&#x3a1;	&#929;	Ρ	RHO
&#x3a3;	&#931;	Σ	SIGMA
&#x3a4;	&#932;	Τ	TAU
&#x3a5;	&#933;	Υ	UPSIRON
&#x3a6;	&#934;	Φ	PHI
&#x3a7;	&#935;	Χ	CHI
&#x3a8;	&#936;	Ψ	PSI
&#x3a9;	&#937;	Ω	OMEGA
&#x3b1;	&#945;	α	alpha
&#x3b2;	&#946;	β	beta
&#x3b3;	&#947;	γ	gamma
&#x3b4;	&#948;	δ	delta
&#x3b5;	&#949;	ε	epsilon
&#x3b6;	&#950;	ζ	zeta
&#x3b7;	&#951;	η	eta
&#x3b8;	&#952;	θ	theta
&#x3b9;	&#953;	ι	iota
&#x3ba;	&#954;	κ	kappa
&#x3bb;	&#955;	λ	lambda
&#x3bc;	&#956;	μ	mu
&#x3bd;	&#957;	ν	nu
&#x3be;	&#958;	ξ	xi
&#x3bf;	&#959;	ο	omicron
&#x3c0;	&#960;	π	pi
&#x3c1;	&#961;	ρ	rho
&#x3c2;	&#962;	ς	sigmaf
&#x3c3;	&#963;	σ	sigma
&#x3c4;	&#964;	τ	tau
&#x3c5;	&#965;	υ	upsilon
&#x3c6;	&#966;	φ	phi
&#x3c7;	&#967;	χ	chi
&#x3c8;	&#968;	ψ	psi
&#x3c9;	&#969;	ω	omega
&#x3d1;	&#977;	ϑ	thetasym, thetav, vartheta
&#x3d2;	&#978;	ϒ	upsih, Upsi
&#x3d5;	&#981;	ϕ	straightphi
&#x3d6;	&#982;	ϖ	piv, varpi
&#x3dc;	&#988;	Ϝ	Gammad
&#x3dd;	&#989;	ϝ	gammad, digamma
&#x3f0;	&#1008;	ϰ	kappav, varkappa
&#x3f1;	&#1009;	ϱ	rhov, varrho
&#x3f5;	&#1013;	ϵ	epsi, straightepsilon
&#x3f6;	&#1014;	϶	bepsi, backepsilon
&#x401;	&#1025;	Ё	IOcy
&#x402;	&#1026;	Ђ	DJcy
&#x403;	&#1027;	Ѓ	GJcy
&#x404;	&#1028;	Є	Jukcy
&#x405;	&#1029;	Ѕ	DScy
&#x406;	&#1030;	І	Iukcy
&#x407;	&#1031;	Ї	YIcy
&#x408;	&#1032;	Ј	Jsercy
&#x409;	&#1033;	Љ	LJcy
&#x40a;	&#1034;	Њ	NJcy
&#x40b;	&#1035;	Ћ	TSHcy
&#x40c;	&#1036;	Ќ	KJcy
&#x40e;	&#1038;	Ў	Ubrcy
&#x40f;	&#1039;	Џ	DZcy
&#x410;	&#1040;	А	Acy
&#x411;	&#1041;	Б	Bcy
&#x412;	&#1042;	В	Vcy
&#x413;	&#1043;	Г	Gcy
&#x414;	&#1044;	Д	Dcy
&#x415;	&#1045;	Е	IEcy
&#x416;	&#1046;	Ж	ZHcy
&#x417;	&#1047;	З	Zcy
&#x418;	&#1048;	И	Icy
&#x419;	&#1049;	Й	Jcy
&#x41a;	&#1050;	К	Kcy
&#x41b;	&#1051;	Л	Lcy
&#x41c;	&#1052;	М	Mcy
&#x41d;	&#1053;	Н	Ncy
&#x41e;	&#1054;	О	Ocy
&#x41f;	&#1055;	П	Pcy
&#x420;	&#1056;	Р	Rcy
&#x421;	&#1057;	С	Scy
&#x422;	&#1058;	Т	Tcy
&#x423;	&#1059;	У	Ucy
&#x424;	&#1060;	Ф	Fcy
&#x425;	&#1061;	Х	KHcy
&#x426;	&#1062;	Ц	TScy
&#x427;	&#1063;	Ч	CHcy
&#x428;	&#1064;	Ш	SHcy
&#x429;	&#1065;	Щ	SHCHcy
&#x42a;	&#1066;	Ъ	HARDcy
&#x42b;	&#1067;	Ы	Ycy
&#x42c;	&#1068;	Ь	SOFTcy
&#x42d;	&#1069;	Э	Ecy
&#x42e;	&#1070;	Ю	YUcy
&#x42f;	&#1071;	Я	YAcy
&#x430;	&#1072;	а	acy
&#x431;	&#1073;	б	bcy
&#x432;	&#1074;	в	vcy
&#x433;	&#1075;	г	gcy
&#x434;	&#1076;	д	dcy
&#x435;	&#1077;	е	iecy
&#x436;	&#1078;	ж	zhcy
&#x437;	&#1079;	з	zcy
&#x438;	&#1080;	и	icy
&#x439;	&#1081;	й	jcy
&#x43a;	&#1082;	к	kcy
&#x43b;	&#1083;	л	lcy
&#x43c;	&#1084;	м	mcy
&#x43d;	&#1085;	н	ncy
&#x43e;	&#1086;	о	ocy
&#x43f;	&#1087;	п	pcy
&#x440;	&#1088;	р	rcy
&#x441;	&#1089;	с	scy
&#x442;	&#1090;	т	tcy
&#x443;	&#1091;	у	ucy
&#x444;	&#1092;	ф	fcy
&#x445;	&#1093;	х	khcy
&#x446;	&#1094;	ц	tscy
&#x447;	&#1095;	ч	chcy
&#x448;	&#1096;	ш	shcy
&#x449;	&#1097;	щ	shchcy
&#x44a;	&#1098;	ъ	hardcy
&#x44b;	&#1099;	ы	ycy
&#x44c;	&#1100;	ь	softcy
&#x44d;	&#1101;	э	ecy
&#x44e;	&#1102;	ю	yucy
&#x44f;	&#1103;	я	yacy
&#x451;	&#1105;	ё	iocy
&#x452;	&#1106;	ђ	djcy
&#x453;	&#1107;	ѓ	gjcy
&#x454;	&#1108;	є	jukcy
&#x455;	&#1109;	ѕ	dscy
&#x456;	&#1110;	і	iukcy
&#x457;	&#1111;	ї	yicy
&#x458;	&#1112;	ј	jsercy
&#x459;	&#1113;	љ	ljcy
&#x45a;	&#1114;	њ	njcy
&#x45b;	&#1115;	ћ	tshcy
&#x45c;	&#1116;	ќ	kjcy
&#x45e;	&#1118;	ў	ubrcy
&#x45f;	&#1119;	џ	dzcy
&#x2002;	&#8194;	 	ensp
&#x2003;	&#8195;	 	emsp
&#x2004;	&#8196;	 	emsp13
&#x2005;	&#8197;	 	emsp14
&#x2007;	&#8199;	 	numsp
&#x2008;	&#8200;	 	puncsp
&#x2009;	&#8201;	 	thin space (oka: space)
&#x200a;	&#8202;	 	hairsp, VeryThinSpace
&#x200b;	&#8203;	 	ZeroWidthSpace, NegativeVeryThinSpace, NegativeThinSpace, NegativeMediumSpace, NegativeThickSpace
&#x200c;	&#8204;	 	zwnj
&#x200d;	&#8205;	 	zwj
&#x200e;	&#8206;	 	lrm
&#x200f;	&#8207;	 	rlm
&#x2010;	&#8208;	‐	hyphen, dash
&#x2013;	&#8211;	-	en dash (oka: hyphen)
&#x2014;	&#8212;	—	mdash
&#x2015;	&#8213;	―	horbar
&#x2016;	&#8214;	‖	Verbar, Vert
&#x2018;	&#8216;	'	left single quotation (oka: single quotation)
&#x2019;	&#8217;	'	right single quotation (oka: single quotation)
&#x201a;	&#8218;	,	single low-9 quotation (oka: comma)
&#x201c;	&#8220;	"	left double quotation (oka: double quotation)
&#x201d;	&#8221;	"	right double quotation (oka: double quotation)
&#x201e;	&#8222;	„	bdquo, ldquor
&#x2020;	&#8224;	†	dagger
&#x2021;	&#8225;	‡	double dagger
&#x2022;	&#8226;	•	bullet = black small circle
&#x2025;	&#8229;	‥	nldr
&#x2026;	&#8230;	…	hellip, mldr
&#x202f;	&#8239;	 	narrow no-break space (oka: space)
&#x2030;	&#8240;	‰	per mille sign
&#x2031;	&#8241;	‱	pertenk
&#x2032;	&#8242;	'	prime = minutes = feet (oka: single quotation)
&#x2033;	&#8243;	"	double prime = seconds = inches (oka: double quotation)
&#x2034;	&#8244;	‴	tprime
&#x2035;	&#8245;	‵	bprime, backprime
&#x2039;	&#8249;	‹	lsaquo
&#x203a;	&#8250;	›	rsaquo
&#x203e;	&#8254;	‾	oline
&#x2041;	&#8257;	⁁	caret
&#x2043;	&#8259;	⁃	hybull
&#x2044;	&#8260;	⁄	frasl
